18/02/2020_'13:14:10', ["'Mr President - Hips Shaking'", '"I Can\'t Go For That (No Can Do)"']
18/02/2020_'13:09:14', ["'David Batteau - Too Slow To Disco'", "'Spaceship Earth'"]
18/02/2020_'13:05:54', ["'Ned Doheny - Separate Oceans'", "'Labor Of Love'"]
18/02/2020_'13:00:04', ["'Roy Ayers - Disco Tech Edits'", "'The Memory (Disco Tech edit)'"]
18/02/2020_'12:56:19', ['"Letta Mbulu - Beach Diggin\' Vol 2"', "'Namalizo'"]
18/02/2020_'12:52:00', ["'B-Jam - Tales From the City, Vol. 4'", '"Now I\'m Back"']
18/02/2020_'12:46:38', ["'Dynamicron - Black Lace Vol3'", "'xxx  80'"]
18/02/2020_'12:40:52', ["'Suave - Under the Influence Vol.7 compiled by Winston'", "'Salsa Gon Gitcha (Funk  Soul (80s Disco) R)'"]
18/02/2020_'12:36:30', ["'Crystal Winds - Rainer TrÃ¼by presents Soulgliding'", "'Lovers Holiday'"]
18/02/2020_'13:35:07', ["'The Showfa - A Gospel Excursion Vol. 1'", "'Thankful (The Showfa Rework)'"]
18/02/2020_'13:34:27', ["'Mag Sly bourboule (Jingle)'", "'13:28:13'"]
18/02/2020_'13:21:53', ["'Baricentro'", "'Tittle tattle'"]
18/02/2020_'13:18:02', ["'Paul Johnson - Alex Attias presents LillyGood Party!'", "'Better Than This (Soul Talk Remix) (Disco)'"]
18/02/2020_'13:14:10', ["'Mr President - Hips Shaking'", '"I Can\'t Go For That (No Can Do)"']
18/02/2020_'13:09:14', ["'David Batteau - Too Slow To Disco'", "'Spaceship Earth'"]
18/02/2020_'13:05:54', ["'Ned Doheny - Separate Oceans'", "'Labor Of Love'"]
18/02/2020_'13:00:04', ["'Roy Ayers - Disco Tech Edits'", "'The Memory (Disco Tech edit)'"]
18/02/2020_'12:56:19', ['"Letta Mbulu - Beach Diggin\' Vol 2"', "'Namalizo'"]
18/02/2020_'13:57:10', ["'Michael Boothman - Touch'", '"What You Won\'t Do For Love"']
18/02/2020_'13:50:29', ["'The Golden Flamingo Orchestra - Sources - The P Records Soul  Disco Anthology'", '"The Guardian Angel Is Watching Over Us (Club 12\'\' Mix) (Disco)"']
18/02/2020_'13:46:27', ["'Cymande - Choice: A Collection of Classics by Louie Vega'", "'Bra [Dance Ritual Session / Danny Krivit Edit] (Disco)'"]
18/02/2020_'13:42:27', ["'L Holloway'", "'Only A Fool (JM Jackmaster re-edit)'"]
18/02/2020_'13:35:07', ["'The Showfa - A Gospel Excursion Vol. 1'", "'Thankful (The Showfa Rework)'"]
18/02/2020_'13:34:27', ["'Mag Sly bourboule (Jingle)'", "'13:28:13'"]
18/02/2020_'13:21:53', ["'Baricentro'", "'Tittle tattle'"]
18/02/2020_'13:18:02', ["'Paul Johnson - Alex Attias presents LillyGood Party!'", "'Better Than This (Soul Talk Remix) (Disco)'"]
18/02/2020_'13:14:10', ["'Mr President - Hips Shaking'", '"I Can\'t Go For That (No Can Do)"']
18/02/2020_'14:17:41', ["'Bongeziwe Mabandla - Mangaliso'", "'Ndofelapha'"]
18/02/2020_'14:14:38', ["'Crown Heights Affair - DJ Spinna De-Lite Dance Delights'", "'Music Is The World (Funk, Soul)'"]
